АдресПолучателя;ГородПолучателя;ДатаИсполнения;ДатаНазначения;ДатаРазмещения;Доставка;ИндексПолучателя;КодЗаказа;КодКлиента;КодСотрудника;НазваниеПолучателя;ОбластьПолучателя;СтоимостьДоставки;СтранаПолучателя
Sierras de Granada 9993;Мехико;25.07.96 08:00;15.08.96 08:00;18.07.96 08:00;3;05022;10259;CENTC;4;Centro comercial Moctezuma;;3,25;Мексика
Mehrheimerstr. 369;Кельн;29.07.96 08:00;16.08.96 08:00;19.07.96 08:00;1;50739;10260;OTTIK;4;Ottilies Kaseladen;;55,09;Германия
Rua da Panificadora, 12;Рио-де-Жанейро;30.07.96 08:00;16.08.96 08:00;19.07.96 08:00;2;02389-673;10261;QUEDE;4;Que Delicia;RJ;3,05;Бразилия
2817 Milton Dr.;Альбукерке;25.07.96 08:00;19.08.96 08:00;22.07.96 08:00;3;87110;10262;RATTC;8;Rattlesnake Canyon Grocery;NM;48,29;США
Kirchgasse 6;Грасс;31.07.96 08:00;20.08.96 08:00;23.07.96 08:00;3;8010;10263;ERNSH;9;Ernst Handel;;146,06;Австрия
Lkergatan 24;Брекке;23.08.96 08:00;21.08.96 08:00;24.07.96 08:00;3;S-844 67;10264;FOLKO;6;Folk och fa HB;;3,67;Швеция
24, place Kleber;Страсбург;12.08.96 08:00;22.08.96 08:00;25.07.96 08:00;1;67000;10265;BLONP;2;Blondel pere et fils;;55,28;Франция
Torikatu 38;Оулу;31.07.96 08:00;06.09.96 08:00;26.07.96 08:00;3;90110;10266;WARTH;3;Wartian Herkku;;25,73;Финляндия
Berliner Platz 43;Мюнхен;06.08.96 08:00;26.08.96 08:00;29.07.96 08:00;1;80805;10267;FRANK;4;Frankenversand;;208,58;Германия
5S Ave. Los Palos Grandes;Каракас;02.08.96 08:00;27.08.96 08:00;30.07.96 08:00;3;1081;10268;GROSR;8;GROSELLA-Restaurante;DF;66,29;Венесуэлла
1029 - 12th Ave. S.;Сиэтл;09.08.96 08:00;14.08.96 08:00;31.07.96 08:00;1;98124;10269;WHITC;5;White Clover Markets;WA;4,56;США
Torikatu 38;Оулу;02.08.96 08:00;29.08.96 08:00;01.08.96 08:00;1;90110;10270;WARTH;1;Wartian Herkku;;136,54;Финляндия
P.O. Box 555;Лендер;30.08.96 08:00;29.08.96 08:00;01.08.96 08:00;2;82520;10271;SPLIR;6;Split Rail Beer & Ale;WY;4,54;США
2817 Milton Dr.;Альбукерке;06.08.96 08:00;30.08.96 08:00;02.08.96 08:00;2;87110;10272;RATTC;6;Rattlesnake Canyon Grocery;NM;98,03;США
Taucherstrasse 10;Кюневальд;12.08.96 08:00;02.09.96 08:00;05.08.96 08:00;3;01307;10273;QUICK;3;QUICK-Stop;;76,07;Германия
59 rue de l'Abbaye;Реймс;16.08.96 08:00;03.09.96 08:00;06.08.96 08:00;1;51100;10274;VINET;6;Vins et alcools Chevalier;;6,01;Франция
Via Ludovico il Moro 22;Бергамо;09.08.96 08:00;04.09.96 08:00;07.08.96 08:00;1;24100;10275;MAGAA;1;Magazzini Alimentari Riuniti;;26,93;Италия
Avda. Azteca 123;Мехико;14.08.96 08:00;22.08.96 08:00;08.08.96 08:00;3;05033;10276;TORTU;8;Tortuga Restaurante;;13,84;Мексика
Heerstr. 22;Лейпциг;13.08.96 08:00;06.09.96 08:00;09.08.96 08:00;3;04179;10277;MORGK;2;Morgenstern Gesundkost;;125,77;Германия
Berguvsvagen  8;Лулео;16.08.96 08:00;09.09.96 08:00;12.08.96 08:00;2;S-958 22;10278;BERGS;8;Berglunds snabbkop;;92,69;Швеция
Magazinweg 7;Франкфурт;16.08.96 08:00;10.09.96 08:00;13.08.96 08:00;2;60528;10279;LEHMS;8;Lehmanns Marktstand;;25,83;Германия
Berguvsvagen  8;Лулео;12.09.96 08:00;11.09.96 08:00;14.08.96 08:00;1;S-958 22;10280;BERGS;2;Berglunds snabbkop;;8,98;Швеция
Gran Via, 1;Мадрид;21.08.96 08:00;28.08.96 08:00;14.08.96 08:00;1;28001;10281;ROMEY;4;Romero y tomillo;;2,94;Испания
Gran Via, 1;Мадрид;21.08.96 08:00;12.09.96 08:00;15.08.96 08:00;1;28001;10282;ROMEY;4;Romero y tomillo;;12,69;Испания
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;23.08.96 08:00;13.09.96 08:00;16.08.96 08:00;3;3508;10283;LILAS;3;LILA-Supermercado;Lara;84,81;Венесуэлла
Magazinweg 7;Франкфурт;27.08.96 08:00;16.09.96 08:00;19.08.96 08:00;1;60528;10284;LEHMS;4;Lehmanns Marktstand;;76,56;Германия
Taucherstrasse 10;Кюневальд;26.08.96 08:00;17.09.96 08:00;20.08.96 08:00;2;01307;10285;QUICK;1;QUICK-Stop;;76,83;Германия
Taucherstrasse 10;Кюневальд;30.08.96 08:00;18.09.96 08:00;21.08.96 08:00;3;01307;10286;QUICK;8;QUICK-Stop;;229,24;Германия
Av. Copacabana, 267;Рио-де-Жанейро;28.08.96 08:00;19.09.96 08:00;22.08.96 08:00;3;02389-890;10287;RICAR;8;Ricardo Adocicados;RJ;12,76;Бразилия
Strada Provinciale 124;Реджио-Эмилио;03.09.96 08:00;20.09.96 08:00;23.08.96 08:00;1;42100;10288;REGGC;4;Reggiani Caseifici;;7,45;Италия
Fauntleroy Circus;Лондон;28.08.96 08:00;23.09.96 08:00;26.08.96 08:00;3;EC2 5NT;10289;BSBEV;7;B's Beverages;;22,77;Великобритания
Av. dos Lusiadas, 23;Сан-Пауло;03.09.96 08:00;24.09.96 08:00;27.08.96 08:00;1;05432-043;10290;COMMI;8;Comercio Mineiro;SP;79,7;Бразилия
Rua da Panificadora, 12;Рио-де-Жанейро;04.09.96 08:00;24.09.96 08:00;27.08.96 08:00;2;02389-673;10291;QUEDE;6;Que Delicia;RJ;6,4;Бразилия
Av. Ines de Castro, 414;Сан-Пауло;02.09.96 08:00;25.09.96 08:00;28.08.96 08:00;2;05634-030;10292;TRADH;1;Tradicao Hipermercados;SP;1,35;Бразилия
Avda. Azteca 123;Мехико;11.09.96 08:00;26.09.96 08:00;29.08.96 08:00;3;05033;10293;TORTU;1;Tortuga Restaurante;;21,18;Мексика
2817 Milton Dr.;Альбукерке;05.09.96 08:00;27.09.96 08:00;30.08.96 08:00;2;87110;10294;RATTC;4;Rattlesnake Canyon Grocery;NM;147,26;США
59 rue de l'Abbaye;Реймс;10.09.96 08:00;30.09.96 08:00;02.09.96 08:00;2;51100;10295;VINET;2;Vins et alcools Chevalier;;1,15;Франция
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;11.09.96 08:00;01.10.96 08:00;03.09.96 08:00;1;3508;10296;LILAS;6;LILA-Supermercado;Lara;0,12;Венесуэлла
24, place Kleber;Страсбург;10.09.96 08:00;16.10.96 08:00;04.09.96 08:00;2;67000;10297;BLONP;5;Blondel pere et fils;;5,74;Франция
8 Johnstown Road;Корк;11.09.96 08:00;03.10.96 08:00;05.09.96 08:00;2;;10298;HUNGO;6;Hungry Owl All-Night Grocers;Co. Cork;168,22;Ирландия
Av. Copacabana, 267;Рио-де-Жанейро;13.09.96 08:00;04.10.96 08:00;06.09.96 08:00;2;02389-890;10299;RICAR;4;Ricardo Adocicados;RJ;29,76;Бразилия
Via Ludovico il Moro 22;Бергамо;18.09.96 08:00;07.10.96 08:00;09.09.96 08:00;2;24100;10300;MAGAA;2;Magazzini Alimentari Riuniti;;17,68;Италия
Adenauerallee 900;Штутгарт;17.09.96 08:00;07.10.96 08:00;09.09.96 08:00;2;70563;10301;WANDK;8;Die Wandernde Kuh;;45,08;Германия
Boulevard Tirou, 255;Шарлеруа;09.10.96 08:00;08.10.96 08:00;10.09.96 08:00;2;B-6000;10302;SUPRD;4;Supremes delices;;6,27;Бельгия
C/ Romero, 33;Севилья;18.09.96 08:00;09.10.96 08:00;11.09.96 08:00;2;41101;10303;GODOS;7;Godos Cocina Tipica;;107,83;Испания
Avda. Azteca 123;Мехико;17.09.96 08:00;10.10.96 08:00;12.09.96 08:00;2;05033;10304;TORTU;1;Tortuga Restaurante;;63,79;Мексика
2743 Bering St.;Анкоридж;09.10.96 08:00;11.10.96 08:00;13.09.96 08:00;3;99508;10305;OLDWO;8;Old World Delicatessen;AK;257,62;США
Gran Via, 1;Мадрид;23.09.96 08:00;14.10.96 08:00;16.09.96 08:00;3;28001;10306;ROMEY;1;Romero y tomillo;;7,56;Испания
89 Chiaroscuro Rd.;Портленд;25.09.96 08:00;15.10.96 08:00;17.09.96 08:00;2;97219;10307;LONEP;2;Lonesome Pine Restaurant;OR;0,56;США
Avda. de la Constitucion 2222;Мехико;24.09.96 08:00;16.10.96 08:00;18.09.96 08:00;2;05021;10308;ANATR;7;Ana Trujillo Emparedados y helados;;1,61;Мексика
8 Johnstown Road;Корк;23.10.96 08:00;17.10.96 08:00;19.09.96 08:00;1;;10309;HUNGO;3;Hungry Owl All-Night Grocers;Co. Cork;47,3;Ирландия
"89 Jefferson Way
Suite 2";Портленд;27.09.96 08:00;18.10.96 08:00;20.09.96 08:00;2;97201;10310;THEBI;8;The Big Cheese;OR;17,52;США
67, rue des Cinquante Otages;Нант;26.09.96 08:00;04.10.96 08:00;20.09.96 08:00;3;44000;10311;DUMON;1;Du monde entier;;24,69;Франция
Adenauerallee 900;Штутгарт;03.10.96 08:00;21.10.96 08:00;23.09.96 08:00;2;70563;10312;WANDK;2;Die Wandernde Kuh;;40,26;Германия
Taucherstrasse 10;Кюневальд;04.10.96 08:00;22.10.96 08:00;24.09.96 08:00;2;01307;10313;QUICK;2;QUICK-Stop;;1,96;Германия
2817 Milton Dr.;Альбукерке;04.10.96 08:00;23.10.96 08:00;25.09.96 08:00;2;87110;10314;RATTC;1;Rattlesnake Canyon Grocery;NM;74,16;США
"Garden House
Crowther Way";Cowes;03.10.96 08:00;24.10.96 08:00;26.09.96 08:00;2;PO31 7PJ;10315;ISLAT;4;Island Trading;Isle of White;41,76;Великобритания
2817 Milton Dr.;Альбукерке;08.10.96 08:00;25.10.96 08:00;27.09.96 08:00;3;87110;10316;RATTC;1;Rattlesnake Canyon Grocery;NM;150,15;США
89 Chiaroscuro Rd.;Портленд;10.10.96 08:00;28.10.96 08:00;30.09.96 08:00;1;97219;10317;LONEP;6;Lonesome Pine Restaurant;OR;12,69;США
"Garden House
Crowther Way";Cowes;04.10.96 08:00;29.10.96 08:00;01.10.96 08:00;2;PO31 7PJ;10318;ISLAT;8;Island Trading;Isle of White;4,73;Великобритания
Avda. Azteca 123;Мехико;11.10.96 08:00;30.10.96 08:00;02.10.96 08:00;3;05033;10319;TORTU;7;Tortuga Restaurante;;64,5;Мексика
Torikatu 38;Оулу;18.10.96 08:00;17.10.96 08:00;03.10.96 08:00;3;90110;10320;WARTH;5;Wartian Herkku;;34,57;Финляндия
"Garden House
Crowther Way";Cowes;11.10.96 08:00;31.10.96 08:00;03.10.96 08:00;2;PO31 7PJ;10321;ISLAT;3;Island Trading;Isle of White;3,43;Великобритания
Calle Dr. Jorge Cash 321;Мехико;23.10.96 08:00;01.11.96 08:00;04.10.96 08:00;3;05033;10322;PERIC;7;Pericles Comidas clasicas;;0,4;Мексика
Maubelstr. 90;Бранденбург;14.10.96 08:00;04.11.96 08:00;07.10.96 08:00;1;14776;10323;KOENE;4;Koniglich Essen;;4,88;Германия
187 Suffolk Ln.;Буа;10.10.96 08:00;05.11.96 08:00;08.10.96 08:00;1;83720;10324;SAVEA;9;Save-a-lot Markets;ID;214,27;США
Maubelstr. 90;Бранденбург;14.10.96 08:00;23.10.96 08:00;09.10.96 08:00;3;14776;10325;KOENE;1;Koniglich Essen;;64,86;Германия
C/ Araquil, 67;Мадрид;14.10.96 08:00;07.11.96 08:00;10.10.96 08:00;2;28023;10326;BOLID;4;Bolido Comidas preparadas;;77,92;Испания
Lkergatan 24;Брекке;14.10.96 08:00;08.11.96 08:00;11.10.96 08:00;1;S-844 67;10327;FOLKO;2;Folk och fa HB;;63,36;Швеция
Jardim das rosas n. 32;Лиссабон;17.10.96 08:00;11.11.96 08:00;14.10.96 08:00;3;1675;10328;FURIB;4;Furia Bacalhau e Frutos do Mar;;87,03;Португалия
P.O. Box 555;Лендер;23.10.96 08:00;26.11.96 08:00;15.10.96 08:00;2;82520;10329;SPLIR;4;Split Rail Beer & Ale;WY;191,67;США
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;28.10.96 08:00;13.11.96 08:00;16.10.96 08:00;1;3508;10330;LILAS;3;LILA-Supermercado;Lara;12,75;Венесуэлла
12, rue des Bouchers;Марсель;21.10.96 08:00;27.11.96 08:00;16.10.96 08:00;1;13008;10331;BONAP;9;Bon app';;10,19;Франция
43 rue St. Laurent;Монреаль;21.10.96 08:00;28.11.96 08:00;17.10.96 08:00;2;H1J 1C3;10332;MEREP;3;Mere Paillarde;Quebec;52,84;Канада
Torikatu 38;Оулу;25.10.96 08:00;15.11.96 08:00;18.10.96 08:00;3;90110;10333;WARTH;5;Wartian Herkku;;0,59;Финляндия
2, rue du Commerce;Лион;28.10.96 08:00;18.11.96 08:00;21.10.96 08:00;2;69004;10334;VICTE;8;Victuailles en stock;;8,56;Франция
8 Johnstown Road;Корк;24.10.96 08:00;19.11.96 08:00;22.10.96 08:00;2;;10335;HUNGO;7;Hungry Owl All-Night Grocers;Co. Cork;42,11;Ирландия
Estrada da saude n. 58;Лиссабон;25.10.96 08:00;20.11.96 08:00;23.10.96 08:00;2;1756;10336;PRINI;7;Princesa Isabel Vinhos;;15,51;Португалия
Berliner Platz 43;Мюнхен;29.10.96 08:00;21.11.96 08:00;24.10.96 08:00;3;80805;10337;FRANK;4;Frankenversand;;108,26;Германия
2743 Bering St.;Анкоридж;29.10.96 08:00;22.11.96 08:00;25.10.96 08:00;3;99508;10338;OLDWO;4;Old World Delicatessen;AK;84,21;США
43 rue St. Laurent;Монреаль;04.11.96 08:00;25.11.96 08:00;28.10.96 08:00;2;H1J 1C3;10339;MEREP;2;Mere Paillarde;Quebec;15,66;Канада
12, rue des Bouchers;Марсель;08.11.96 08:00;26.11.96 08:00;29.10.96 08:00;3;13008;10340;BONAP;1;Bon app';;166,31;Франция
Vinbaeltet 34;Копенгаген;05.11.96 08:00;26.11.96 08:00;29.10.96 08:00;3;1734;10341;SIMOB;7;Simons bistro;;26,78;Дания
Berliner Platz 43;Мюнхен;04.11.96 08:00;13.11.96 08:00;30.10.96 08:00;2;80805;10342;FRANK;4;Frankenversand;;54,83;Германия
Magazinweg 7;Франкфурт;06.11.96 08:00;28.11.96 08:00;31.10.96 08:00;1;60528;10343;LEHMS;4;Lehmanns Marktstand;;110,37;Германия
1029 - 12th Ave. S.;Сиэтл;05.11.96 08:00;29.11.96 08:00;01.11.96 08:00;2;98124;10344;WHITC;4;White Clover Markets;WA;23,29;США
Taucherstrasse 10;Кюневальд;11.11.96 08:00;02.12.96 08:00;04.11.96 08:00;2;01307;10345;QUICK;2;QUICK-Stop;;249,06;Германия
2817 Milton Dr.;Альбукерке;08.11.96 08:00;17.12.96 08:00;05.11.96 08:00;3;87110;10346;RATTC;3;Rattlesnake Canyon Grocery;NM;142,08;США
Rua Oros, 92;Сан-Пауло;08.11.96 08:00;04.12.96 08:00;06.11.96 08:00;3;05442-030;10347;FAMIA;4;Familia Arquibaldo;SP;3,1;Бразилия
Adenauerallee 900;Штутгарт;15.11.96 08:00;05.12.96 08:00;07.11.96 08:00;2;70563;10348;WANDK;4;Die Wandernde Kuh;;0,78;Германия
P.O. Box 555;Лендер;15.11.96 08:00;06.12.96 08:00;08.11.96 08:00;1;82520;10349;SPLIR;7;Split Rail Beer & Ale;WY;8,63;США
1 rue Alsace-Lorraine;Тулуза;03.12.96 08:00;09.12.96 08:00;11.11.96 08:00;2;31000;10350;LAMAI;6;La maison d'Asie;;64,19;Франция
Kirchgasse 6;Грасс;20.11.96 08:00;09.12.96 08:00;11.11.96 08:00;1;8010;10351;ERNSH;1;Ernst Handel;;162,33;Австрия
Jardim das rosas n. 32;Лиссабон;18.11.96 08:00;26.11.96 08:00;12.11.96 08:00;3;1675;10352;FURIB;3;Furia Bacalhau e Frutos do Mar;;1,3;Португалия
Geislweg 14;Зальцбург;25.11.96 08:00;11.12.96 08:00;13.11.96 08:00;3;5020;10353;PICCO;7;Piccolo und mehr;;360,63;Австрия
Calle Dr. Jorge Cash 321;Мехико;20.11.96 08:00;12.12.96 08:00;14.11.96 08:00;3;05033;10354;PERIC;8;Pericles Comidas clasicas;;53,8;Мексика
"Brook Farm
Stratford St. Mary";Колчестер;20.11.96 08:00;13.12.96 08:00;15.11.96 08:00;1;CO7 6JX;10355;AROUT;6;Around the Horn;Essex;41,95;Великобритания
Adenauerallee 900;Штутгарт;27.11.96 08:00;16.12.96 08:00;18.11.96 08:00;2;70563;10356;WANDK;6;Die Wandernde Kuh;;36,71;Германия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;02.12.96 08:00;17.12.96 08:00;19.11.96 08:00;3;3508;10357;LILAS;1;LILA-Supermercado;Lara;34,88;Венесуэлла
1 rue Alsace-Lorraine;Тулуза;27.11.96 08:00;18.12.96 08:00;20.11.96 08:00;1;31000;10358;LAMAI;5;La maison d'Asie;;19,64;Франция
90 Wadhurst Rd.;Лондон;26.11.96 08:00;19.12.96 08:00;21.11.96 08:00;3;OX15 4NB;10359;SEVES;5;Seven Seas Imports;;288,43;Великобритания
24, place Kleber;Страсбург;02.12.96 08:00;20.12.96 08:00;22.11.96 08:00;3;67000;10360;BLONP;4;Blondel pere et fils;;131,7;Франция
Taucherstrasse 10;Кюневальд;03.12.96 08:00;20.12.96 08:00;22.11.96 08:00;2;01307;10361;QUICK;1;QUICK-Stop;;183,17;Германия
12, rue des Bouchers;Марсель;28.11.96 08:00;23.12.96 08:00;25.11.96 08:00;2;13008;10362;BONAP;8;Bon app';;96,04;Франция
Walserweg 21;Ахен;04.12.96 08:00;24.12.96 08:00;26.11.96 08:00;3;52066;10363;DRACD;4;Drachenblut Delikatessen;;30,54;Германия
35 King George;Лондон;04.12.96 08:00;07.01.97 08:00;26.11.96 08:00;1;WX3 6FW;10364;EASTC;1;Eastern Connection;;71,97;Великобритания
Mataderos  2312;Мехико;02.12.96 08:00;25.12.96 08:00;27.11.96 08:00;2;05023;10365;ANTON;3;Antonio Moreno Taqueria;;22;Мексика
Rambla de Cataluna, 23;Барселона;30.12.96 08:00;09.01.97 08:00;28.11.96 08:00;2;8022;10366;GALED;8;Galeria del gastronomo;;10,14;Испания
Smagsloget 45;Орхус;02.12.96 08:00;26.12.96 08:00;28.11.96 08:00;3;8200;10367;VAFFE;7;Vaffeljernet;;13,55;Дания
Kirchgasse 6;Грасс;02.12.96 08:00;27.12.96 08:00;29.11.96 08:00;2;8010;10368;ERNSH;2;Ernst Handel;;101,95;Австрия
P.O. Box 555;Лендер;09.12.96 08:00;30.12.96 08:00;02.12.96 08:00;2;82520;10369;SPLIR;8;Split Rail Beer & Ale;WY;195,68;США
Hauptstr. 31;Берн;27.12.96 08:00;31.12.96 08:00;03.12.96 08:00;2;3012;10370;CHOPS;6;Chop-suey Chinese;;1,17;Швейцария
1 rue Alsace-Lorraine;Тулуза;24.12.96 08:00;31.12.96 08:00;03.12.96 08:00;1;31000;10371;LAMAI;1;La maison d'Asie;;0,45;Франция
Alameda dos Canarios, 891;Сан-Пауло;09.12.96 08:00;01.01.97 08:00;04.12.96 08:00;2;05487-020;10372;QUEEN;5;Queen Cozinha;SP;890,78;Бразилия
8 Johnstown Road;Корк;11.12.96 08:00;02.01.97 08:00;05.12.96 08:00;3;;10373;HUNGO;4;Hungry Owl All-Night Grocers;Co. Cork;124,12;Ирландия
ul. Filtrowa 68;Варшава;09.12.96 08:00;02.01.97 08:00;05.12.96 08:00;3;01-012;10374;WOLZA;1;Wolski Zajazd;;3,94;Польша
"City Center Plaza
516 Main St.";Элгин;09.12.96 08:00;03.01.97 08:00;06.12.96 08:00;2;97827;10375;HUNGC;3;Hungry Coyote Import Store;OR;20,12;США
43 rue St. Laurent;Монреаль;13.12.96 08:00;06.01.97 08:00;09.12.96 08:00;2;H1J 1C3;10376;MEREP;1;Mere Paillarde;Quebec;20,39;Канада
90 Wadhurst Rd.;Лондон;13.12.96 08:00;06.01.97 08:00;09.12.96 08:00;3;OX15 4NB;10377;SEVES;1;Seven Seas Imports;;22,21;Великобритания
Lkergatan 24;Брекке;19.12.96 08:00;07.01.97 08:00;10.12.96 08:00;3;S-844 67;10378;FOLKO;5;Folk och fa HB;;5,44;Швеция
Rua da Panificadora, 12;Рио-де-Жанейро;13.12.96 08:00;08.01.97 08:00;11.12.96 08:00;1;02389-673;10379;QUEDE;2;Que Delicia;RJ;45,03;Бразилия
8 Johnstown Road;Корк;16.01.97 08:00;09.01.97 08:00;12.12.96 08:00;3;;10380;HUNGO;8;Hungry Owl All-Night Grocers;Co. Cork;35,03;Ирландия
Carrera 52 con Ave. Bolivar #65-98 Llano Largo;Баркисимето;13.12.96 08:00;09.01.97 08:00;12.12.96 08:00;3;3508;10381;LILAS;3;LILA-Supermercado;Lara;7,99;Венесуэлла
Kirchgasse 6;Грасс;16.12.96 08:00;10.01.97 08:00;13.12.96 08:00;1;8010;10382;ERNSH;4;Ernst Handel;;94,77;Австрия
"Brook Farm
Stratford St. Mary";Колчестер;18.12.96 08:00;13.01.97 08:00;16.12.96 08:00;3;CO7 6JX;10383;AROUT;4;Around the Horn;Essex;34,24;Великобритания
Berguvsvagen  8;Лулео;20.12.96 08:00;13.01.97 08:00;16.12.96 08:00;3;S-958 22;10384;BERGS;3;Berglunds snabbkop;;168,64;Швеция
P.O. Box 555;Лендер;23.12.96 08:00;14.01.97 08:00;17.12.96 08:00;2;82520;10385;SPLIR;1;Split Rail Beer & Ale;WY;30,96;США
Rua Oros, 92;Сан-Пауло;25.12.96 08:00;01.01.97 08:00;18.12.96 08:00;3;05442-030;10386;FAMIA;9;Familia Arquibaldo;SP;13,99;Бразилия
Erling Skakkes gate 78;Ставерен;20.12.96 08:00;15.01.97 08:00;18.12.96 08:00;2;4110;10387;SANTG;1;Sante Gourmet;;93,63;Норвегия
90 Wadhurst Rd.;Лондон;20.12.96 08:00;16.01.97 08:00;19.12.96 08:00;1;OX15 4NB;10388;SEVES;2;Seven Seas Imports;;34,86;Великобритания
23 Tsawassen Blvd.;Тсавассен;24.12.96 08:00;17.01.97 08:00;20.12.96 08:00;2;T2F 8M4;10389;BOTTM;4;Bottom-Dollar Markets;BC;47,42;Канада
Kirchgasse 6;Грасс;26.12.96 08:00;20.01.97 08:00;23.12.96 08:00;1;8010;10390;ERNSH;6;Ernst Handel;;126,38;Австрия
Walserweg 21;Ахен;31.12.96 08:00;20.01.97 08:00;23.12.96 08:00;3;52066;10391;DRACD;3;Drachenblut Delikatessen;;5,45;Германия
Geislweg 14;Зальцбург;01.01.97 08:00;21.01.97 08:00;24.12.96 08:00;3;5020;10392;PICCO;2;Piccolo und mehr;;122,46;Австрия
187 Suffolk Ln.;Буа;03.01.97 08:00;22.01.97 08:00;25.12.96 08:00;3;83720;10393;SAVEA;1;Save-a-lot Markets;ID;126,56;США
"City Center Plaza
516 Main St.";Элгин;03.01.97 08:00;22.01.97 08:00;25.12.96 08:00;3;97827;10394;HUNGC;1;Hungry Coyote Import Store;OR;30,34;США
Carrera 22 con Ave. Carlos Soublette #8-35;Сан-Кристобаль;03.01.97 08:00;23.01.97 08:00;26.12.96 08:00;1;5022;10395;HILAA;6;HILARION-Abastos;Tochira;184,41;Венесуэлла
Berliner Platz 43;Мюнхен;06.01.97 08:00;10.01.97 08:00;27.12.96 08:00;3;80805;10396;FRANK;1;Frankenversand;;135,35;Германия
Estrada da saude n. 58;Лиссабон;02.01.97 08:00;24.01.97 08:00;27.12.96 08:00;1;1756;10397;PRINI;5;Princesa Isabel Vinhos;;60,26;Португалия
187 Suffolk Ln.;Буа;09.01.97 08:00;27.01.97 08:00;30.12.96 08:00;3;83720;10398;SAVEA;2;Save-a-lot Markets;ID;89,16;США
Smagsloget 45;Орхус;08.01.97 08:00;14.01.97 08:00;31.12.96 08:00;3;8200;10399;VAFFE;8;Vaffeljernet;;27,36;Дания
35 King George;Лондон;16.01.97 08:00;29.01.97 08:00;01.01.97 08:00;3;WX3 6FW;10400;EASTC;1;Eastern Connection;;83,93;Великобритания
2817 Milton Dr.;Альбукерке;10.01.97 08:00;29.01.97 08:00;01.01.97 08:00;1;87110;10401;RATTC;1;Rattlesnake Canyon Grocery;NM;12,51;США
Kirchgasse 6;Грасс;10.01.97 08:00;13.02.97 08:00;02.01.97 08:00;2;8010;10402;ERNSH;8;Ernst Handel;;67,88;Австрия
Kirchgasse 6;Грасс;09.01.97 08:00;31.01.97 08:00;03.01.97 08:00;3;8010;10403;ERNSH;4;Ernst Handel;;73,79;Австрия
Via Ludovico il Moro 22;Бергамо;08.01.97 08:00;31.01.97 08:00;03.01.97 08:00;1;24100;10404;MAGAA;2;Magazzini Alimentari Riuniti;;155,97;Италия
Ave. 5 de Mayo Porlamar;О-в Маргариты;22.01.97 08:00;03.02.97 08:00;06.01.97 08:00;1;4980;10405;LINOD;1;LINO-Delicateses;Nueva Esparta;34,82;Венесуэлла
Alameda dos Canarios, 891;Сан-Пауло;13.01.97 08:00;18.02.97 08:00;07.01.97 08:00;1;05487-020;10406;QUEEN;7;Queen Cozinha;SP;108,04;Бразилия
Mehrheimerstr. 369;Кельн;30.01.97 08:00;04.02.97 08:00;07.01.97 08:00;2;50739;10407;OTTIK;2;Ottilies Kaseladen;;91,48;Германия
